# This is a continuation of trace file C:\!WorkingDirectory\1C_Sam_Rab\Project\.metadata\trace.log.bak_1
# version: 1.1
# verbose: true
# Time of creation: 2025-09-18 23:04:41.452
| Worker-80: Запуск XML_Sklad_Integration Толстый клиент | 2025-09-18 23:07:38.809 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Export paths computed: [C:\Users\ramwsh\AppData\Local\Temp\1cedt\ssh-54139\0\xml-inc-4161\Configuration.xml, C:\Users\ramwsh\AppData\Local\Temp\1cedt\ssh-54139\0\xml-inc-4161\Catalogs\Склады\Forms\ФормаЭлемента.xml, C:\Users\ramwsh\AppData\Local\Temp\1cedt\ssh-54139\0\xml-inc-4161\CommonModules\МодульСкладыКлиент\Ext\Module.bsl, C:\Users\ramwsh\AppData\Local\Temp\1cedt\ssh-54139\0\xml-inc-4161\Documents\ПоступлениеТовараНаСклад.xml, C:\Users\ramwsh\AppData\Local\Temp\1cedt\ssh-54139\0\xml-inc-4161\Documents\ПоступлениеТовараНаСклад\Forms\ФормаДокумента.xml, C:\Users\ramwsh\AppData\Local\Temp\1cedt\ssh-54139\0\xml-inc-4161\CommonModules\МодульСкладыВызовСервера\Ext\Module.bsl, C:\Users\ramwsh\AppData\Local\Temp\1cedt\ssh-54139\0\xml-inc-4161\Catalogs\Склады\Ext\ObjectModule.bsl, C:\Users\ramwsh\AppData\Local\Temp\1cedt\ssh-54139\0\xml-inc-4161\Catalogs\Склады.xml] |
| Worker-80: Запуск XML_Sklad_Integration Толстый клиент | 2025-09-18 23:07:38.810 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Incremental loading to infobase: [C:\Users\ramwsh\AppData\Local\Temp\1cedt\ssh-54139\0\xml-inc-4161\Configuration.xml, C:\Users\ramwsh\AppData\Local\Temp\1cedt\ssh-54139\0\xml-inc-4161\Catalogs\Склады\Forms\ФормаЭлемента.xml, C:\Users\ramwsh\AppData\Local\Temp\1cedt\ssh-54139\0\xml-inc-4161\CommonModules\МодульСкладыКлиент\Ext\Module.bsl, C:\Users\ramwsh\AppData\Local\Temp\1cedt\ssh-54139\0\xml-inc-4161\Documents\ПоступлениеТовараНаСклад.xml, C:\Users\ramwsh\AppData\Local\Temp\1cedt\ssh-54139\0\xml-inc-4161\Documents\ПоступлениеТовараНаСклад\Forms\ФормаДокумента.xml, C:\Users\ramwsh\AppData\Local\Temp\1cedt\ssh-54139\0\xml-inc-4161\CommonModules\МодульСкладыВызовСервера\Ext\Module.bsl, C:\Users\ramwsh\AppData\Local\Temp\1cedt\ssh-54139\0\xml-inc-4161\Catalogs\Склады\Ext\ObjectModule.bsl, C:\Users\ramwsh\AppData\Local\Temp\1cedt\ssh-54139\0\xml-inc-4161\Catalogs\Склады.xml] |
| Worker-80: Запуск XML_Sklad_Integration Толстый клиент | 2025-09-18 23:07:38.810 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Reusing alive cached designer agent connection for infobase Информационная база from the pool |
| Worker-80: Запуск XML_Sklad_Integration Толстый клиент | 2025-09-18 23:07:38.810 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Executing in existing designer session: Загрузка 8 объектов конфигурации в информационную базу Информационная база |
| Worker-80: Запуск XML_Sklad_Integration Толстый клиент | 2025-09-18 23:07:38.812 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Sending to designer agent: config load-files --dir="xml-inc-4161" --archive="xml.zip" --no-check --list-file="xml-inc-4161\load.lst" --update-config-dump-info |
| Worker-80: Запуск XML_Sklad_Integration Толстый клиент | 2025-09-18 23:07:39.029 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 223 | Обновление конфигурации базы данных информационной базы Информационная база |
| Worker-80: Запуск XML_Sklad_Integration Толстый клиент | 2025-09-18 23:07:39.029 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Sending to designer agent: config update-db-cfg --prompt-confirmation --session-terminate="prompt" |
| Worker-80: Запуск XML_Sklad_Integration Толстый клиент | 2025-09-18 23:07:40.341 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Incremental load finished: true |
| Worker-80: Запуск XML_Sklad_Integration Толстый клиент | 2025-09-18 23:07:40.341 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Storing fresh configuration dump info file and generationId: source=C:\Users\ramwsh\AppData\Local\Temp\1cedt\ssh-54139\0\xml-inc-4161, target=Optional[com._1c.g5.v8.dt.internal.platform.services.core.infobases.sync.connections.StoringConfigDumpInfoOption@5235c9bf], status=Status OK: unknown code=0 ОК |
| Worker-80: Запуск XML_Sklad_Integration Толстый клиент | 2025-09-18 23:07:40.344 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Reusing alive cached designer agent connection for infobase Информационная база from the pool |
